Timestamp,File,Original_Bytes,Zlib_Compressed_Bytes,Zlib_Ratio,Neural_Compressed_Bytes,Neural_Ratio,Neural_Time_MS
2026-07-19 13:33:34,README.md,4754,2194,2.1668,2256,2.1073,4.0855
2026-07-19 13:33:34,LICENSE,6866,2760,2.4877,3038,2.26,2.2671
2026-07-19 13:33:34,requirements.txt,86,83,1.0361,45,1.9111,0.0346
2026-07-19 13:40:03,README.md,4754,2194,2.1668,2256,2.1073,1.7085
2026-07-19 13:40:03,LICENSE,6866,2760,2.4877,3038,2.26,1.3707
2026-07-19 13:40:03,requirements.txt,86,83,1.0361,45,1.9111,0.0341
2026-07-19 13:45:05,README.md,4754,2194,2.1668,2256,2.1073,3.7465
2026-07-19 13:45:05,LICENSE,6866,2760,2.4877,3038,2.26,5.4195
2026-07-19 13:45:05,requirements.txt,86,83,1.0361,45,1.9111,0.0348
2026-07-19 13:47:54,README.md,4754,2194,2.1668,2256,2.1073,1.9681
2026-07-19 13:47:54,LICENSE,6866,2760,2.4877,3038,2.26,2.5187
2026-07-19 13:47:54,requirements.txt,86,83,1.0361,45,1.9111,0.0403
2026-07-19 13:55:08,README.md,4754,2194,2.1668,2256,2.1073,1.8764
2026-07-19 13:55:08,LICENSE,6866,2760,2.4877,3038,2.26,2.8241
2026-07-19 13:55:08,requirements.txt,86,83,1.0361,45,1.9111,0.0346
2026-07-19 13:57:45,genomic,expanded_data_sequence_8.txt,5000000,1022.9133,1.2041,3.2776,1454.8321
2026-07-19 13:57:46,genomic,expanded_data_sequence_9.txt,5000000,1022.9133,1.2041,2.9526,1614.9902
2026-07-19 13:57:47,genomic,sequence_file_2.fasta,266224,64.2743,1.2104,2.7693,91.6815
2026-07-19 13:57:47,genomic,sequence_file_1.fasta,267774,56.2905,1.2041,3.5029,72.902
2026-07-19 13:57:48,genomic,expanded_data_sequence_13.txt,5000000,1022.9133,1.2041,3.2439,1469.9419
2026-07-19 13:57:50,genomic,expanded_data_sequence_10.txt,5000000,1022.9133,1.2041,3.2951,1447.1226
2026-07-19 13:57:51,genomic,expanded_data_sequence_15.txt,5000000,1022.9133,1.2041,3.2691,1458.6222
2026-07-19 13:57:53,genomic,expanded_data_sequence_4.txt,5000000,1022.9133,1.2041,3.3621,1418.2775
2026-07-19 13:57:54,genomic,expanded_data_sequence_17.txt,5000000,1022.9133,1.2041,3.2343,1474.3001
2026-07-19 13:57:56,genomic,expanded_data_sequence_12.txt,5000000,1022.9133,1.2041,3.3295,1432.1632
2026-07-19 13:57:57,genomic,expanded_data_sequence_14.txt,5000000,1022.9133,1.2041,3.2637,1461.0257
2026-07-19 13:57:58,genomic,expanded_data_sequence_6.txt,5000000,1022.9133,1.2041,3.3787,1411.3243
2026-07-19 13:58:00,genomic,expanded_data_sequence_19.txt,5000000,1022.9133,1.2041,3.3968,1403.79
2026-07-19 13:58:01,genomic,expanded_data_sequence_7.txt,5000000,1022.9133,1.2041,3.3398,1427.7561
2026-07-19 13:58:03,genomic,expanded_data_sequence_16.txt,5000000,1022.9133,1.2041,3.3918,1405.8473
2026-07-19 13:58:04,genomic,expanded_data_sequence_5.txt,5000000,1022.9133,1.2041,3.1955,1492.2359
2026-07-19 13:58:06,genomic,expanded_data_sequence_18.txt,5000000,1022.9133,1.2041,3.2748,1456.0761
2026-07-19 13:58:07,genomic,expanded_data_sequence_20.txt,5000000,1022.9133,1.2041,3.3767,1412.1482
